PNA,Miejscowość,Ulica,Numery,Gmina,Powiat,Województwo
05-192,Aleksandria,,"4-6, 7-9(n), 12-15",Nowe Miasto,płoński,mazowieckie
42-500,Będzin (Brzozowica),Karola Świerczewskiego,"2-15, 17-103(n), 28-102(p), 115",Będzin,będziński,śląskie
42-506,Będzin (Grodziec),Wolności,"87-315(n), 94-392(p)",Będzin,będziński,śląskie
15-113,Białystok,gen. Władysława Andersa,"38-DK(p), 69-DK(n)",Białystok,Białystok,podlaskie
15-386,Białystok,Angielska,"1-2, 3-21(n), 4-26a(p)",Białystok,Białystok,podlaskie
15-376,Białystok,Angielska,"23-DK(n), 28-DK(p)",Białystok,Białystok,podlaskie
15-685,Białystok,Bacieczki,"9-141(n), 44-142(p),",Białystok,Białystok,podlaskie
,,,174-DK,,,
15-501,Białystok,Baranowicka,"112-134(p), 113-121(n)",Białystok,Białystok,podlaskie
15-517,Białystok,Baranowicka,"123-DK(n), 136-DK(p)",Białystok,Białystok,podlaskie
15-370,Białystok,gen. Józefa Bema,"50-DK(p), 63-DK(n)",Białystok,Białystok,podlaskie
15-545,Białystok,Konstantego Ciołkowskiego,"4-88(p), 69-161(n)",Białystok,Białystok,podlaskie
15-516,Białystok,Konstantego Ciołkowskiego,"90-DK(p), 163-DK(n)",Białystok,Białystok,podlaskie
15-581,Białystok,Dojlidy Górne,"45-61(n), 50-62(p), 63-DK",Białystok,Białystok,podlaskie
15-794,Białystok,Gajowa,"1-48, 51-83(n), 52-DK(p)",Białystok,Białystok,podlaskie
15-182,Białystok,Generała Stanisława Sosabowskiego,"1-DK(n), 2-6(p), 28-DK(p)",Białystok,Białystok,podlaskie
15-138,Białystok,Generała Stanisława Sosabowskiego,22-24(p),Białystok,Białystok,podlaskie
15-013,Białystok,Jana III Sobieskiego,"1-DK(n), 26-DK(p)",Białystok,Białystok,podlaskie
15-325,Białystok,Kawaleryjska,"17-DK(n), 40-DK(p)",Białystok,Białystok,podlaskie
15-281,Białystok,Legionowa,"1-DK(n),",Białystok,Białystok,podlaskie
15-232,Białystok,Adama Mickiewicza,"22-42(p), 46-DK(p)",Białystok,Białystok,podlaskie
15-405,Białystok,Młynowa,"35-DK(n), 60-DK(p)",Białystok,Białystok,podlaskie
15-196,Białystok,Moniuszki,"54-DK(p),",Białystok,Białystok,podlaskie
15-159,Białystok,Odległa,"5-DK(n),",Białystok,Białystok,podlaskie
15-027,Białystok,Ogrodowa,"6-DK(p), 11-DK(n)",Białystok,Białystok,podlaskie
15-084,Białystok,Elizy Orzeszkowej,"17-DK(n), 32-DK(p)",Białystok,Białystok,podlaskie
15-561,Białystok,Piaskowa,"8-DK(p), 15-DK(n)",Białystok,Białystok,podlaskie
15-518,Białystok,Plażowa,"48-56(p), 89-DK(n)",Białystok,Białystok,podlaskie
15-210,Białystok,Pod Krzywą,"53-DK(n), 72-DK(p)",Białystok,Białystok,podlaskie
15-874,Białystok,Poleska,"46-DK(p), 73-DK(n)",Białystok,Białystok,podlaskie
15-657,Białystok,ks. Jerzego Popiełuszki,"60, 71-75(n), 113-DK(n)",Białystok,Białystok,podlaskie
15-567,Białystok,ks. Jerzego Popiełuszki,"82-82b, 99-111a(n)",Białystok,Białystok,podlaskie
